CustomerID,CustomerName,Gender,Age,MaritalStatus,DependentsCount,Occupation,IncomeBand,CustomerSegment,CustomerLifetimeValue,Region,State,City,ZipCode,Market,UrbanRural,PopulationDensity,NetworkCoverageScore,AccountStartDate,TenureMonths,ContractType,InternetService,PhoneService,NumLines,DeviceType,DeviceAgeMonths,UnlimitedData,StreamingTV,StreamingMovies,InternationalCalling,VoicemailService,SecurityPackage,CloudBackup,MonthlyDataUsageGB,MonthlyVoiceMinutes,MonthlySMS,AppUsageFrequency,PortalVisits,DaysSinceLastLogin,MonthlyCharges,TotalCharges,Revenue,ARPU,RevenueLast12M,MonthlyDiscount,PromotionType,AutoPayEnabled,PaymentMethod,LatePaymentsLast12M,FailedPaymentCount,SatisfactionScore,NPSScore,SupportTicketsLast90Days,ComplaintCount,AvgResolutionTimeHours,OutageImpactScore,CustomerStatus,Churn,ChurnDate,ChurnReason,ChurnProbability,RiskSegment,RetentionOfferGiven,RetentionOfferAccepted
C000011,Customer 11,Female,21,Divorced,1,Professional,Medium,Family,33466.59,West,California,Los Angeles,97500,Metro,Rural,7351,83.9,2026-01-25,100,Month-to-Month,Cable,Yes,4,Tablet,58,Yes,No,No,No,Yes,No,No,315.2,1174,1801,3,9,60,135.91,13591.0,13591.0,135.91,1630.92,8.15,Seasonal,Yes,Bank Transfer,1,1,3,-2,3,1,50.3,4,Active,No,,,0.45,Low,No,No
C000012,Customer 12,Male,72,Divorced,3,Retired,Low,Premium,12728.47,Northeast,New Jersey,Newark,61116,Suburban,Urban,8099,68.6,2022-11-21,54,Month-to-Month,DSL,Yes,1,Tablet,22,No,Yes,No,Yes,Yes,No,Yes,46.6,1805,555,28,14,46,146.62,7917.48,7917.48,146.62,1759.44,1.51,Retention,No,Bank Transfer,3,2,7,-14,3,1,55.0,7,Active,No,,,0.33,Medium,No,No
C000013,Customer 13,Male,67,Divorced,0,Professional,Low,Family,649.91,West,Nevada,Las Vegas,91439,Urban,Urban,2168,78.5,2019-04-14,3,One Year,Cable,Yes,2,Tablet,45,No,No,Yes,Yes,Yes,No,Yes,291.4,3854,1277,19,12,101,85.74,257.22,257.22,85.74,257.22,28.24,Bundle,Yes,Bank Transfer,0,2,1,75,1,3,43.6,2,Active,No,,,0.28,High,Yes,No
C000014,Customer 14,Female,24,Married,2,Retired,High,Family,1588.55,Midwest,Michigan,Detroit,78386,Metro,Rural,8917,90.2,2023-03-20,9,One Year,DSL,Yes,6,Router,21,Yes,Yes,No,No,Yes,No,No,171.5,2074,1331,6,15,54,95.91,863.19,863.19,95.91,863.19,10.64,Seasonal,No,Electronic Check,4,2,6,42,2,1,1.7,4,Churned,Yes,2025-03-29,Price Too High,0.08,High,No,No
C000015,Customer 15,Male,43,Divorced,1,Business,High,Premium,7665.16,South,North Carolina,Charlotte,79588,Suburban,Rural,9117,72.9,2025-11-18,83,One Year,DSL,Yes,3,Router,17,Yes,Yes,Yes,No,Yes,Yes,Yes,112.1,2033,1132,24,18,134,48.49,4024.67,4024.67,48.49,581.88,17.9,None,Yes,Electronic Check,1,2,8,-55,1,0,22.5,9,Active,No,,,0.08,Low,No,Yes
C000016,Customer 16,Female,48,Married,3,Business,Low,Consumer,5062.0,West,Oregon,Portland,72616,Urban,Urban,6665,79.2,2024-06-21,90,Two Year,Cable,Yes,6,Android,10,Yes,No,Yes,Yes,Yes,No,Yes,389.0,1608,1845,30,14,76,36.78,3310.2,3310.2,36.78,441.36,25.8,Retention,No,Credit Card,4,0,8,95,3,1,15.8,4,Active,No,,,0.08,Medium,Yes,Yes
C000017,Customer 17,Female,36,Single,1,Business,High,Premium,21991.81,South,Florida,Miami,69510,Urban,Urban,4434,90.7,2025-01-04,71,Month-to-Month,Cable,Yes,6,iPhone,28,Yes,Yes,Yes,No,Yes,Yes,Yes,87.1,1309,2437,24,18,73,134.96,9582.16,9582.16,134.96,1619.52,13.17,Retention,No,Mailed Check,2,3,1,12,1,4,6.7,1,Churned,Yes,2026-03-19,Service Issues,0.53,High,No,Yes
C000018,Customer 18,Female,54,Single,1,Retired,High,Business,8787.42,West,Washington,Seattle,33788,Metro,Rural,8156,97.8,2023-04-10,87,Two Year,DSL,Yes,4,Router,21,Yes,Yes,No,No,No,No,No,407.7,2303,150,15,2,80,38.01,3306.87,3306.87,38.01,456.12,7.57,None,No,Credit Card,5,3,10,5,0,2,4.8,9,Active,No,,,0.08,Medium,No,No
C000019,Customer 19,Male,19,Divorced,4,Student,High,Family,7764.84,West,Washington,Seattle,11792,Metro,Rural,1627,68.8,2019-04-10,35,One Year,DSL,Yes,1,iPhone,32,No,No,No,No,No,Yes,No,277.9,1621,780,30,19,130,136.25,4768.75,4768.75,136.25,1635.0,22.39,Bundle,Yes,Electronic Check,6,3,5,-13,4,1,67.3,9,Active,No,,,0.08,Medium,Yes,No
C000020,Customer 20,Female,47,Married,1,Student,High,Business,13825.61,Northeast,New Jersey,Newark,63841,Urban,Rural,7849,87.5,2022-04-11,111,Month-to-Month,DSL,Yes,6,iPhone,32,Yes,Yes,No,Yes,No,Yes,No,12.6,640,1679,28,20,39,83.2,9235.2,9235.2,83.2,998.4,2.24,Seasonal,No,Mailed Check,5,0,9,-16,2,3,61.5,9,Active,No,,,0.41,Medium,No,No
C000021,Customer 21,Female,80,Single,5,Professional,Medium,Family,10126.15,West,California,Los Angeles,13794,Urban,Rural,1019,71.4,2022-03-16,31,One Year,DSL,Yes,2,iPhone,34,No,Yes,Yes,Yes,Yes,No,Yes,251.3,2438,586,8,14,163,143.28,4441.68,4441.68,143.28,1719.36,7.62,Seasonal,Yes,Mailed Check,2,1,5,-82,0,0,32.4,6,Active,No,,,0.08,High,No,No
C000022,Customer 22,Female,54,Married,4,Business,High,Premium,6255.29,Northeast,New Jersey,Newark,96275,Suburban,Rural,232,82.1,2025-09-10,109,Month-to-Month,Cable,Yes,1,Tablet,54,No,Yes,No,Yes,Yes,No,Yes,316.0,3750,2570,21,1,79,50.46,5500.14,5500.14,50.46,605.52,23.66,None,No,Bank Transfer,0,2,7,-17,2,0,54.1,3,Active,No,,,0.33,Low,Yes,No
C000023,Customer 23,Female,69,Single,3,Professional,Low,Family,6578.29,Northeast,Massachusetts,Boston,98395,Suburban,Rural,1579,90.8,2018-02-27,33,Two Year,DSL,Yes,5,Android,30,No,No,No,No,Yes,Yes,No,17.4,3671,2299,11,19,56,77.8,2567.4,2567.4,77.8,933.6,19.43,Retention,No,Mailed Check,0,1,8,-89,2,1,68.2,5,Active,No,,,0.08,Medium,Yes,Yes
C000024,Customer 24,Male,74,Married,5,Professional,Medium,Business,19229.31,South,Florida,Miami,46666,Urban,Rural,3659,77.3,2020-08-25,50,Month-to-Month,DSL,Yes,1,Router,35,No,Yes,No,No,Yes,Yes,No,50.4,918,2628,21,19,5,142.63,7131.5,7131.5,142.63,1711.56,1.52,Seasonal,Yes,Bank Transfer,6,1,9,-83,1,0,59.9,9,Active,No,,,0.33,Low,Yes,Yes
C000025,Customer 25,Male,52,Married,1,Professional,High,Consumer,23761.26,Northeast,Massachusetts,Boston,56955,Urban,Rural,358,66.8,2018-08-03,101,Two Year,Fiber Optic,Yes,6,Tablet,34,Yes,Yes,No,No,No,Yes,No,254.4,3922,2519,2,16,77,177.68,17945.68,17945.68,177.68,2132.16,13.74,None,Yes,Mailed Check,6,3,1,9,4,5,49.7,8,Churned,Yes,2026-03-31,Competitor Offer,0.28,Low,No,Yes
C000026,Customer 26,Female,47,Divorced,4,Retired,Low,Consumer,7540.62,West,Washington,Seattle,95316,Metro,Urban,7146,77.6,2020-07-24,36,One Year,DSL,Yes,3,Tablet,26,No,Yes,No,No,No,No,No,477.0,2863,1942,3,2,21,82.15,2957.4,2957.4,82.15,985.8,2.8,None,No,Bank Transfer,4,0,10,50,1,0,68.9,9,Active,No,,,0.08,Medium,Yes,No
C000027,Customer 27,Female,24,Divorced,4,Student,Low,Business,20249.29,Northeast,New Jersey,Newark,24184,Suburban,Rural,1982,89.7,2024-06-09,112,Two Year,Fiber Optic,Yes,4,Android,39,No,Yes,Yes,No,No,No,No,8.0,3612,586,19,12,17,122.06,13670.72,13670.72,122.06,1464.72,4.26,None,Yes,Bank Transfer,3,3,1,16,2,2,25.2,6,Active,No,,,0.2,Medium,No,Yes
C000028,Customer 28,Female,49,Divorced,3,Retired,Medium,Family,3726.33,West,Washington,Seattle,24918,Suburban,Rural,1916,71.0,2025-08-11,21,One Year,Cable,Yes,4,Router,3,Yes,No,Yes,Yes,Yes,No,Yes,384.8,3180,1046,10,10,30,74.45,1563.45,1563.45,74.45,893.4,0.23,Retention,Yes,Bank Transfer,3,1,1,28,2,0,40.7,6,Active,No,,,0.2,Low,No,Yes
C000029,Customer 29,Female,36,Single,3,Professional,Medium,Family,17162.51,Midwest,Illinois,Chicago,91018,Suburban,Rural,1543,77.0,2019-03-10,59,Two Year,Fiber Optic,Yes,4,Tablet,34,Yes,No,No,No,Yes,No,Yes,42.8,2643,467,17,16,49,118.14,6970.26,6970.26,118.14,1417.68,27.18,Seasonal,No,Bank Transfer,1,0,6,-63,3,2,19.2,3,Active,No,,,0.08,High,Yes,Yes
C000030,Customer 30,Female,73,Divorced,2,Student,Medium,Consumer,19237.26,South,North Carolina,Charlotte,92756,Suburban,Rural,9789,62.2,2023-09-10,60,One Year,Fiber Optic,Yes,3,Tablet,29,Yes,Yes,No,No,Yes,Yes,No,234.0,2320,168,15,18,166,169.0,10140.0,10140.0,169.0,2028.0,5.65,Retention,Yes,Credit Card,3,0,10,-13,1,0,70.7,2,Active,No,,,0.08,High,Yes,Yes
C000031,Customer 31,Female,42,Married,2,Government,Low,Premium,6152.88,South,North Carolina,Charlotte,22387,Metro,Rural,4755,69.8,2025-05-13,57,One Year,Cable,Yes,2,Router,6,Yes,No,No,No,Yes,Yes,No,281.7,2685,1345,27,4,171,89.06,5076.42,5076.42,89.06,1068.72,21.08,None,No,Electronic Check,0,2,10,-21,2,2,13.8,4,Active,No,,,0.08,Medium,No,Yes
C000032,Customer 32,Male,60,Married,4,Student,High,Business,3086.0,South,Florida,Miami,33703,Metro,Urban,7270,61.7,2022-02-01,20,Month-to-Month,Cable,Yes,6,iPhone,29,No,No,Yes,Yes,No,No,Yes,187.1,3929,2336,15,14,72,113.27,2265.4,2265.4,113.27,1359.24,23.34,Retention,Yes,Bank Transfer,6,1,2,-36,2,0,4.7,8,Active,No,,,0.45,Medium,Yes,Yes
C000033,Customer 33,Female,23,Single,3,Business,Low,Business,6576.83,Northeast,New York,New York,75799,Suburban,Urban,6426,98.8,2022-03-16,98,Month-to-Month,Fiber Optic,Yes,1,Router,60,Yes,No,Yes,Yes,Yes,No,No,349.6,618,2889,16,14,157,56.37,5524.26,5524.26,56.37,676.44,0.16,None,Yes,Electronic Check,1,1,8,40,3,2,67.8,10,Active,No,,,0.33,High,No,Yes
C000034,Customer 34,Female,22,Single,3,Government,High,Consumer,12729.97,Northeast,Massachusetts,Boston,85372,Urban,Urban,4872,76.7,2024-11-23,39,Month-to-Month,DSL,Yes,2,Tablet,12,Yes,No,Yes,Yes,No,No,Yes,319.7,1579,1038,24,0,91,150.12,5854.68,5854.68,150.12,1801.44,23.66,Seasonal,Yes,Credit Card,6,2,4,-66,2,1,4.1,9,Churned,Yes,2025-12-13,Price Too High,0.45,High,No,No
C000035,Customer 35,Male,74,Single,2,Business,High,Business,1607.91,South,Florida,Miami,81176,Suburban,Rural,699,89.4,2020-02-22,9,One Year,DSL,Yes,3,Android,56,No,No,Yes,No,No,No,No,447.8,1633,1388,6,15,177,64.23,578.07,578.07,64.23,578.07,14.93,Seasonal,Yes,Mailed Check,0,3,8,54,2,0,71.7,3,Churned,Yes,2026-07-13,Service Issues,0.08,Medium,Yes,Yes
C000036,Customer 36,Female,20,Divorced,2,Government,Medium,Premium,8693.28,Northeast,Pennsylvania,Philadelphia,17518,Urban,Rural,6052,80.0,2025-08-14,40,Month-to-Month,Fiber Optic,Yes,1,iPhone,55,No,Yes,Yes,Yes,Yes,No,No,194.5,2373,132,20,4,173,99.37,3974.8,3974.8,99.37,1192.44,13.5,Seasonal,No,Mailed Check,6,0,7,46,1,1,10.8,6,Churned,Yes,2026-02-12,Service Issues,0.33,High,No,Yes
C000037,Customer 37,Female,67,Married,5,Retired,Low,Premium,25218.33,West,California,Los Angeles,74382,Urban,Urban,2323,93.3,2023-01-26,95,Month-to-Month,Fiber Optic,Yes,6,Tablet,6,No,No,Yes,No,No,Yes,Yes,397.9,2133,918,4,6,35,116.44,11061.8,11061.8,116.44,1397.28,7.1,Retention,Yes,Electronic Check,4,2,9,19,1,1,58.1,9,Active,No,,,0.33,Low,Yes,Yes
C000038,Customer 38,Male,26,Married,5,Professional,Medium,Business,19588.29,Northeast,New Jersey,Newark,55156,Urban,Urban,2214,76.9,2018-08-15,92,One Year,Fiber Optic,Yes,5,iPhone,20,Yes,Yes,No,Yes,No,No,Yes,129.0,2651,2256,9,4,160,94.37,8682.04,8682.04,94.37,1132.44,9.08,None,Yes,Bank Transfer,1,2,9,44,4,1,3.9,1,Active,No,,,0.08,Low,Yes,No
C000039,Customer 39,Female,48,Single,5,Retired,Medium,Business,11174.15,South,North Carolina,Charlotte,17852,Urban,Rural,6909,78.9,2020-04-15,80,One Year,DSL,Yes,5,iPhone,21,No,No,No,Yes,No,Yes,No,124.7,551,1095,15,7,36,114.11,9128.8,9128.8,114.11,1369.32,2.9,Seasonal,No,Mailed Check,1,1,8,-17,1,1,67.3,6,Active,No,,,0.08,Low,Yes,No
C000040,Customer 40,Female,79,Single,1,Government,Medium,Consumer,12331.49,Midwest,Minnesota,Minneapolis,74866,Metro,Rural,4781,80.9,2019-03-17,113,Month-to-Month,DSL,Yes,2,Router,47,No,No,No,Yes,No,Yes,Yes,184.4,1232,301,13,16,115,92.02,10398.26,10398.26,92.02,1104.24,22.93,Seasonal,Yes,Bank Transfer,0,3,1,-5,5,3,57.4,6,Churned,Yes,2026-07-26,Service Issues,0.53,Low,Yes,No
C000041,Customer 41,Male,56,Divorced,1,Business,High,Premium,759.0,West,California,Los Angeles,90805,Metro,Rural,9827,73.1,2023-09-19,5,Month-to-Month,Cable,Yes,4,Router,31,Yes,No,No,Yes,No,No,Yes,300.5,1137,2685,26,18,147,110.3,551.5,551.5,110.3,551.5,6.83,None,No,Bank Transfer,4,3,6,-63,2,0,59.3,4,Active,No,,,0.33,Low,Yes,Yes
C000042,Customer 42,Female,73,Divorced,5,Professional,High,Family,7678.33,West,Nevada,Las Vegas,83516,Suburban,Rural,8709,74.7,2019-12-11,41,Month-to-Month,DSL,Yes,5,Router,35,No,No,No,Yes,Yes,No,No,116.3,1269,1183,23,6,176,94.5,3874.5,3874.5,94.5,1134.0,21.15,Seasonal,No,Electronic Check,4,2,7,-27,0,0,9.7,9,Active,No,,,0.33,Medium,No,No
C000043,Customer 43,Female,65,Married,1,Student,High,Premium,1597.82,South,Georgia,Atlanta,45601,Urban,Urban,9714,69.3,2018-07-27,6,Month-to-Month,Cable,Yes,5,iPhone,41,Yes,Yes,Yes,No,No,No,Yes,342.2,613,21,18,5,104,99.14,594.84,594.84,99.14,594.84,19.59,Retention,No,Bank Transfer,6,2,2,-18,1,1,21.3,1,Churned,Yes,2025-04-02,Network Quality,0.45,Low,Yes,Yes
C000044,Customer 44,Female,74,Single,0,Business,High,Consumer,19933.52,Midwest,Ohio,Columbus,53914,Suburban,Rural,9001,80.4,2019-07-04,120,Two Year,Cable,Yes,4,Router,13,Yes,No,Yes,No,No,Yes,Yes,369.6,3288,1208,19,6,44,62.02,7442.4,7442.4,62.02,744.24,18.33,Retention,No,Electronic Check,0,3,7,71,2,2,7.8,3,Active,No,,,0.08,Medium,No,Yes
C000045,Customer 45,Male,34,Divorced,2,Student,Low,Consumer,7449.32,West,Oregon,Portland,30934,Suburban,Rural,2023,84.9,2021-04-23,50,Month-to-Month,DSL,Yes,5,iPhone,15,Yes,No,Yes,No,No,No,No,379.9,3334,2720,27,6,63,78.78,3939.0,3939.0,78.78,945.36,20.41,None,No,Electronic Check,0,0,5,-85,1,3,59.8,9,Active,No,,,0.41,Low,Yes,Yes
C000046,Customer 46,Female,69,Single,3,Student,High,Business,4654.05,Northeast,New Jersey,Newark,17567,Metro,Rural,5149,88.2,2022-06-10,15,One Year,DSL,Yes,1,iPhone,38,Yes,Yes,No,No,Yes,Yes,Yes,493.1,1983,129,10,13,46,165.34,2480.1,2480.1,165.34,1984.08,23.07,Retention,No,Mailed Check,3,3,10,-4,2,1,6.7,9,Active,No,,,0.08,Low,No,Yes
C000047,Customer 47,Female,47,Divorced,5,Government,Medium,Business,24587.67,South,North Carolina,Charlotte,42441,Suburban,Rural,2641,70.8,2026-02-17,68,Month-to-Month,Fiber Optic,Yes,1,Tablet,40,Yes,Yes,Yes,Yes,Yes,Yes,No,300.9,2930,199,8,1,102,144.65,9836.2,9836.2,144.65,1735.8,13.17,Bundle,Yes,Bank Transfer,4,2,4,-41,2,3,58.9,10,Active,No,,,0.53,Medium,No,Yes
C000048,Customer 48,Male,58,Divorced,3,Government,Medium,Consumer,10258.38,Northeast,Massachusetts,Boston,94320,Metro,Rural,8692,72.4,2022-09-02,85,One Year,DSL,Yes,2,Router,25,Yes,No,Yes,Yes,No,Yes,No,457.8,2353,1690,14,17,135,43.84,3726.4,3726.4,43.84,526.08,4.02,Bundle,No,Bank Transfer,2,0,7,15,0,1,61.1,2,Active,No,,,0.08,High,Yes,Yes
C000049,Customer 49,Male,48,Single,2,Business,Low,Family,14592.57,Northeast,New Jersey,Newark,25376,Metro,Rural,4074,87.1,2025-11-22,87,One Year,Fiber Optic,Yes,4,iPhone,36,No,No,No,No,No,No,No,183.0,3665,2036,15,3,120,62.28,5418.36,5418.36,62.28,747.36,22.85,Seasonal,Yes,Electronic Check,2,3,1,-89,4,1,40.9,4,Active,No,,,0.2,High,Yes,Yes
C000050,Customer 50,Male,49,Divorced,5,Business,Medium,Business,12260.29,Northeast,New Jersey,Newark,94108,Metro,Rural,7650,66.6,2021-12-13,38,Month-to-Month,Fiber Optic,Yes,2,Tablet,12,Yes,Yes,Yes,Yes,Yes,No,Yes,422.1,997,278,23,4,2,117.62,4469.56,4469.56,117.62,1411.44,6.56,Retention,No,Credit Card,4,3,6,68,2,5,35.6,1,Churned,Yes,2026-06-29,Network Quality,0.41,Medium,Yes,Yes
C000051,Customer 51,Male,76,Single,4,Student,Low,Family,1078.45,Northeast,Pennsylvania,Philadelphia,43084,Suburban,Rural,6602,63.1,2022-07-22,3,One Year,DSL,Yes,5,iPhone,45,Yes,No,Yes,Yes,Yes,No,No,191.7,1999,229,21,0,179,166.92,500.76,500.76,166.92,500.76,5.14,Retention,No,Electronic Check,4,0,7,35,4,0,66.3,4,Active,No,,,0.08,Low,No,No
C000052,Customer 52,Female,19,Single,4,Student,High,Business,9376.16,West,California,Los Angeles,49226,Urban,Urban,9384,92.6,2022-05-13,88,Two Year,Cable,Yes,5,Router,25,Yes,Yes,No,Yes,Yes,No,Yes,420.1,1445,2478,25,19,152,39.77,3499.76,3499.76,39.77,477.24,11.9,Seasonal,Yes,Electronic Check,6,3,9,25,5,2,17.2,9,Active,No,,,0.08,Medium,No,Yes
C000053,Customer 53,Male,42,Divorced,5,Student,High,Business,7607.04,Midwest,Illinois,Chicago,23965,Urban,Urban,5150,77.3,2021-01-09,99,One Year,Fiber Optic,Yes,2,Android,12,No,No,No,Yes,Yes,Yes,No,279.3,2495,2449,26,10,98,46.9,4643.1,4643.1,46.9,562.8,0.37,Retention,No,Credit Card,5,1,4,46,5,0,38.0,7,Active,No,,,0.2,Low,Yes,No
C000054,Customer 54,Female,68,Single,2,Business,Low,Business,12968.69,Northeast,Pennsylvania,Philadelphia,35630,Suburban,Urban,2319,71.9,2022-06-09,64,Month-to-Month,DSL,Yes,5,Tablet,52,No,No,No,No,Yes,No,No,303.6,2897,822,16,10,45,96.06,6147.84,6147.84,96.06,1152.72,28.94,Seasonal,No,Mailed Check,4,1,3,-17,2,3,27.7,7,Churned,Yes,2026-01-09,Competitor Offer,0.53,High,Yes,Yes
C000055,Customer 55,Female,61,Married,1,Business,Low,Premium,9095.84,West,Nevada,Las Vegas,65460,Suburban,Urban,7457,98.6,2023-05-17,91,Month-to-Month,Cable,Yes,4,Tablet,35,Yes,No,Yes,Yes,Yes,No,Yes,325.3,231,2306,21,20,102,45.03,4097.73,4097.73,45.03,540.36,29.0,Seasonal,No,Credit Card,0,0,5,-34,1,0,16.8,9,Active,No,,,0.33,High,Yes,No
C000056,Customer 56,Male,48,Single,2,Retired,Low,Consumer,8574.17,Northeast,New Jersey,Newark,28569,Suburban,Rural,5720,77.8,2020-04-27,60,One Year,Cable,Yes,4,Router,31,Yes,No,No,No,Yes,No,Yes,406.0,521,92,28,10,165,56.86,3411.6,3411.6,56.86,682.32,3.28,Bundle,Yes,Bank Transfer,4,1,10,-16,2,1,40.7,8,Active,No,,,0.08,Low,No,Yes
C000057,Customer 57,Female,42,Single,5,Student,Low,Premium,12155.71,South,North Carolina,Charlotte,18200,Metro,Urban,8896,67.3,2021-08-28,51,Month-to-Month,Fiber Optic,Yes,4,Android,17,No,No,No,No,Yes,No,No,423.5,2578,706,27,9,157,100.19,5109.69,5109.69,100.19,1202.28,17.71,Bundle,No,Credit Card,1,2,10,-71,2,0,14.0,3,Active,No,,,0.33,High,No,No
C000058,Customer 58,Male,53,Single,3,Business,Low,Family,11559.25,South,North Carolina,Charlotte,69113,Metro,Urban,5982,97.1,2023-06-08,55,Month-to-Month,Fiber Optic,Yes,2,Tablet,36,No,No,No,No,No,No,Yes,45.9,176,903,10,1,70,128.56,7070.8,7070.8,128.56,1542.72,6.75,Seasonal,Yes,Mailed Check,4,3,9,40,1,2,37.3,10,Active,No,,,0.33,Low,No,No
C000059,Customer 59,Male,37,Single,3,Business,Medium,Consumer,20080.17,West,Nevada,Las Vegas,25386,Urban,Urban,9732,86.9,2025-12-21,70,Month-to-Month,Cable,Yes,6,Tablet,11,Yes,Yes,Yes,Yes,No,No,Yes,165.2,2933,1198,10,18,68,155.36,10875.2,10875.2,155.36,1864.32,28.57,None,Yes,Mailed Check,0,2,7,67,3,0,10.0,3,Churned,Yes,2025-09-13,Price Too High,0.33,High,No,Yes
